1TrOYTKoyTrkjvtcRxnsKg,YjUrrZIO2O9ls4hiz8nMtA,5.0
orGWYOH9batjD2mp51NcIg,gUbLHWFm6w0QdpDve-hnyg,5.0
tmNHFZY-UYa8RR4h7ojzXQ,UuT87K7cBklh57XTVSKfMw,5.0
Io03dUoXBWjKx3_o6Hni7w,_vZ00pVhPsXvijX0l4GiSg,5.0
uvLws6wdAF1tPNm3W1zXzA,v5OgUR8DmVY0QV6MNWemtA,1.0
uvLws6wdAF1tPNm3W1zXzA,v5OgUR8DmVY0QV6MNWemtA,1.0
_uavwN29NtNS7K9nIrX3Zg,K8ZQmshxbQ-iYBkJV9Sz0A,1.0
Xkm9rGCUrlW2U0dSBc9nGQ,L8M_S9va1hmxzP7HdEdUwA,5.0
Omoa_sp7dE5ayOuW9SQyEw,M8KCiqPfyS31EK7CV_SZ5w,5.0
ozI2klQBoOecidVBbRPrNQ,6o8XBaYy5I-HxRriB5hhPw,5.0
o2gCi4VEgcpgjqcIJ8ncVA,N5yvv_q8h5omlj4x5Ukv_w,4.0
kloIKxYoIeXYG-Uje8-T3g,xfyfN9JrSD2lnkeJ9HLbSg,5.0
AUm63LZCY5trnQTYh4DjNg,mIZTif2mj2-CozNOOTFFpg,5.0
ACw0rn8LQddlYet9r2emhg,gcTc8abc8Jfpmg3t1ejp3g,5.0
JII6-u8ErKtkBUd70JsVqQ,1DjjgH1lVhTUIeL5p5xvYQ,5.0
xzDN5ZiP0cgSeeyM1o9Ccw,VuOPyxBHmerAQuLTM00cuw,1.0
Rn78cnF3VVzASX698PEJuQ,hZy1Qyhd9t1vVEXYZRFXyA,1.0
hX52aDukFtaVkHreQUx8oQ,D0jso7zxIp3eiMVEWn2_Hw,5.0
7Dixcj3QADKLd5qR0lN1WQ,iHgpWa4sNnjGjPsZIi-VNw,5.0
20VkyaYKjLzqzxwpEJURNg,3BzwagIBPQEf_Ic44oZtYQ,5.0
zElktImtUvOFxcZZtt5I7g,KNzjozFTSjV1D_Q1FAAQxw,1.0
-VSY9qz4Hl_U55PhjvyBgg,Mnn1GADjW-aBThveMOXf2A,1.0
lWzOCS2xbUFIIlSH4YdCLg,r8fQb1aczrSI0JfCBsEAfw,5.0
yd_jqtR4oqIt7z7gI7KvBg,nEyQmO6l5ievqZ0zS4Zqeg,1.0
cc9dEswZzXoqERLv7ehglA,sd9b3n1GWBCPmvufiOoX4Q,1.0
fW2ABNidAcUw8TYRpuDXFg,ex9YeQmuZfAYLVCh0_CNlw,5.0
7jbQBLoSohRWVEtzIChRlA,Xsu8D1igiX1B2Us3u3c4aA,1.0
mxHFZkFwb3EE2VJjlB1jmg,w4fNDwn6Oke2FCRihUScpQ,5.0
vFFxNYq4RCKcA4rKbPIiPQ,hpmdfa-nNSrs-AlwaGfByg,5.0
vPu7gseHjeX_BAzF4tN7OA,KmWDRT5derWIFaavkjKM1g,5.0
g5L_70SVoHG41iIAaIjlvw,ze2uggJIXxngKUO2MX3Exg,1.0
zn70PhXYTU56znyMbJvfeg,ofbLd2iETi3x2g6dRCSvVA,4.0
IDxXLh_bAZO7cKSL1otVCg,vhfrCgmCaZRJvU8mjBTXcg,1.0
z3n4lF8oWYahp-3Hx56d7A,yYnF601SkgTSoj-0nH1gGQ,3.0
VZpzm3HG_YXPHvY97m05qg,ClzDQRqt7k3DP7HcTMNydg,5.0
p2kAiMFNdh0f2xbaYfhmVA,79OcxliIkgasAEjH2pS01g,5.0
QhWlnOVDxEHJgWzp9dXv1g,Fh49BbE_R6zAHBCvGs8BiA,5.0
0Nv6NstWzqbwO66tL1SpJg,f53qKL9juvrwBexY404aLA,5.0
yMJTJKAMV7CV-SyqpEYBPA,Oj9tDq6UT_Gizf499wbNag,2.0
ABiwKSGmAUDb86eE2dRn3w,-GpSholMbEzviScVV4QOIA,5.0
HObVTe1jndTZWrWHZ4uyTA,P0Ltl7wZFDlHofnPqOYuDg,3.0
bMO93rHYYo0oP_LCUi7_wQ,nIs6-lL3qygHoYloJ2UVgA,1.0
auNG6REi6yzuI-mbCbYQwg,Ys42wLKqrflqmtqkgqOXgA,4.0
SuCQmtHzcT2DIb4sLC_P9w,zxKOCwa_2W8eIhgYdzQqHw,5.0
guH3Zz4qOrzLBDaaTbfeig,UsUa5naEahLKMEX7qhZ3og,3.0
mBXui5UN-6dacY5LqRMjJA,qnXl-HNzgjjn8ItEVNosbA,3.0
LWG2umDWg6YZe5bgeZRRFA,J20Me2ys4ywctpbtozX0dQ,5.0
tatMb3dbtB7pRVOlLSGzRA,46ZA9llJUAZ2UjPbI0u1tw,5.0
vnUFKaj9ER0UJNkOSILVIw,XmUd-J0OruJDILP4A0tthg,1.0
aWiVWtlDL8ejUSMHN9r0IQ,D5nNN7slS8lA4WWr-y6mqQ,5.0
R-Seu4E2Rb0i2i6sS123gg,uk0EeEv3egyPn-thIABpAg,4.0
R5ahLsGIDGI2hjJMZoefhg,6YJlzNqyyXGwwfspoyZi8g,5.0
zjH282ATU2D5rA8S98mqhA,ka3rK6XgiheE1udUR-tupw,5.0
tHyhKgD_iEO5LaFcaxVfYA,CukX7iiQB7ssoGpKawkDqQ,1.0
_1awbJEdjFuYUbAf6QQd-A,bAto9KLgL594afc1ubYDcA,1.0
TrYNWfUS5FfCU4CP4E75mQ,gCjMTV7JlwCTD5_CGUJZuA,4.0
NusKK3n0eoEfdd7Oq3RkBg,pYN-mj5H8stbqcoBv4F5Lg,5.0
dxUhjUbLs5IZkn1V37Kp4A,Ea5r1hZLkgdhHxgXtynmhQ,4.0
WJn4Ct15Pk8VdB-vNCESiw,GakJnNJLQCF-mSoyMhOBrg,1.0
xZx9IFy0XWCH2lH0X4xncw,hD1_kgmxj38rwY45FN3Wlw,5.0
